Player,Points
Thomas Draca,62 Pts
Cooper Connolly,61 Pts
Kaleem Sana,58 Pts
Max O'Dowd,52 Pts
Dhruv Parashar,52 Pts
Kwena Maphaka,51 Pts
Ruben Trumpelmann,51 Pts
Tony Munyonga,50 Pts
Dion Myers,50 Pts
Ben Shikongo,49 Pts
Zane Green,48 Pts
Curtis Camphar,48 Pts
Dilpreet Bajwa,48 Pts
Nicholas Kirton,48 Pts
Luke Wood,47 Pts
Andries Gous,43 Pts
Fazalhaq Farooqi,42 Pts
Gulsan Jha,41 Pts
Muhammad Farooq,41 Pts
Sundeep Jora,40 Pts
Sher Malla,40 Pts
Kyle Jamieson,36 Pts
Jatinder Singh,35 Pts
Mohammad Nadeem,35 Pts
Washington Sundar,33 Pts
Karan KC,32 Pts
Abdullah Ahmadzai,30 Pts
Safyaan Sharif,28 Pts
Ben Calitz,26 Pts
Matthew Cross,26 Pts
Jason Smith,23 Pts
Marcus Campopiano,22 Pts
Dilshan Madushanka,20 Pts
Tim David,17 Pts
Jay Odedra,16 Pts
Dylan Leicher,16 Pts
Harshit Kaushik,16 Pts
Ashish Odedara,11 Pts
Tim Tector,11 Pts
Khwaja Nafay,11 Pts
Ziaur Rahman,9 Pts
Paul Stirling,8 Pts
Lalit Rajbanshi,6 Pts
Nadeem Khan,6 Pts
Wayne Madsen,5 Pts
Karan Sonavale,4 Pts
Noor Ahmad,3 Pts
Max Heingo,3 Pts
Simranjeet Singh,3 Pts
Abhishek Sharma,1 Pts
Litton Das,0 Pts
Nicholas Pooran,0 Pts
Mahedi Hasan,0 Pts
Tanzid Hasan,0 Pts
Mohammad Saifuddin,0 Pts
Mustafizur Rahman,0 Pts
Nurul Hasan,0 Pts
Towhid Hridoy,0 Pts
Shamim Hossain,0 Pts
Tanzim Hasan Sakib,0 Pts
Shoriful Islam,0 Pts
Parvez Hossain Emon,0 Pts
Nasum Ahmed,0 Pts
Taskin Ahmed,0 Pts
Saif Hassan,0 Pts
Rishad Hossain,0 Pts
Harshit Rana,0 Pts
Devon Conway,0 Pts
Michael Bracewell,0 Pts
Shahidullah Kamal,0 Pts
Adam Milne,0 Pts
Mohammad Ishaq,0 Pts
Naveen-ul-Haq,0 Pts
Ish Sodhi,0 Pts
Ben Duckett,0 Pts
Rehan Ahmed,0 Pts
Josh Tongue,0 Pts
Basir Ahamad,0 Pts
Clive Madande,0 Pts
Hassnain Shah,0 Pts
Tinotenda Maposa,0 Pts
Donovan Ferreira,0 Pts
Tony de Zorzi,0 Pts
Jan Balt,0 Pts
Pat Cummins,0 Pts
Matthew Short,0 Pts
Josh Hazlewood,0 Pts
Saqib Zulfiqar,0 Pts
Ben White,0 Pts
Craig Young,0 Pts
Ravinderpal Singh,0 Pts
Ajayveer Hundal,0 Pts
Kanwarpal Tathgur,0 Pts
Shivam Sharma,0 Pts
Manjot Buttar,0 Pts
Zain Ali,0 Pts
Fakhar Zaman,0 Pts
Naseem Shah,0 Pts
Johnson Charles,0 Pts
Quentin Sampson,0 Pts
Jayden Seales,0 Pts
Finlay McCreath,0 Pts
Chris Greaves,0 Pts
Zainullah Ihsan,0 Pts
Janith Liyanage,0 Pts
Eshan Malinga,0 Pts
Dhananjaya de Silva,0 Pts
Charith Asalanka,0 Pts
Jasdeep Singh,0 Pts
Shehan Jayasuriya,0 Pts
Muhammad Zohaib,0 Pts
Sean Abbott,0 Pts
Steven Smith,0 Pts
Sam Topping,0 Pts
Ben Curran,0 Pts
Ben Dwarshuis,-3 Pts
Timm van der Gugten,-7 Pts
Cole McConchie,-8 Pts
Shreyas Movva,-9 Pts
Shafiq Jan,-12 Pts
Malan Kruger,-14 Pts
Pramod Madushan,-14 Pts
Muhammad Rohid,-14 Pts
Syed Naqvi,-19 Pts
